id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
"7563995",TORTILLAS DE HARINA CASERAS,TORTILLAS DE HARINA CASERAS,"311813",Elaboraci n de tortillas de harina de trigo de forma tradicional,0 a 5 personas,CALLE,GRAFITO,CALLE,URANIO,CALLE,PLATA,CALLE,PLATA,"601",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcla,"0001",San Pedro Garza Garcla,"0011","025",,,,Fijo,25.68453072,-100.41463244,2019-11
"3019159",TORTILLAS DE HARINA FLORES,,"311813",Elaboraci n de tortillas de harina de trigo de forma tradicional,0 a 5 personas,AVENIDA,GENERAL EMILIANO ZAPATA,CALLE,GENERAL FELIPE ONGELES,AVENIDA,DIVISION DEL NORTE,AVENIDA,DIVISIAN DEL NORTE,"108",A,,,,,COLONIA,REVOLUCION,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza GarcEa,"0001",San Pedro Garza GarcEa,"0327","013",,,,Fijo,25.6820708,-100.41095517,2010-07
"6366212",DALTILE M XICO,DALTILE MEXICO S DE RL DE CV,"327122",FabricaciEn de azulejos y losetas no refractarias,251 y mcs personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO DjAZ ORDAZ,CALLE,ZINC,AVENIDA,CORREGIDORA,AVENIDA,ENRIQUE GARCUA LEAL,"335",,,,"0",,COLONIA,SAN PEDRO GARZA GARCIA,,,,"66230","19",NUEVO LEON,"019",San Pedro Garza GarcIa,"0001",San Pedro Garza GarcIa,"0327","035",,LUIS.CARLOS.TREVINO@DALTILE.COM.MX,WWW.DALTILE.COM.MX,Fijo,25.67518777,-100.40305244,2010-07
"6369113",DALTILE MLXICO  MOSAICOS,DALTILE MEXICO S DE RL DE CV,"327122",FabricaciEn de azulejos y losetas no refractarias,251 y mcs personas,BOULEVARD,LICENCIADO GUSTAVO DjAZ ORDAZ,BOULEVARD,CORREGIDORA,AVENIDA,ZINC,AVENIDA,ENRIQUE GARCIA LEAL,"335",SN,,,"0",,COLONIA,EL OBISPO,,,,"66230","19",NUEVO LEON,"019",San Pedro Garza Garcja,"0001",San Pedro Garza Garcja,"0327","035",,,,Fijo,25.67522207,-100.40687388,2010-07
"7563381",LA GALERIA DEL MANTEL,,"314120","ConfecciIn de cortinas, blancos y similares",0 a 5 personas,CALLE,FRANCISCO I. MADERO,CALLE,SEBASTIAN LERDO DE TEJADA,CALLE,HERMANOS SERDAN,CALLE,BELISARIO DOMANGUEZ,"409",B,,,,,COLONIA,EL OBISPO,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza GarcEa,"0001",San Pedro Garza GarcEa,"0331","006",,LAGALERIADELMANTEL@GMAIL.COM,,Fijo,25.68095719,-100.40420603,2019-11
"3019244",TORTILLERIA JACOBO,,"311813",ElaboraciIn de tortillas de harina de trigo de forma tradicional,0 a 5 personas,CALLE,URANIO,AVENIDA,MANUEL J. CLOUTHIER,CALLE,PLOMO,CALLE,PLATA,"129",,,,,,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcla,"0001",San Pedro Garza Garcla,"0026","002","8183157165",,,Fijo,25.68137187,-100.414761,2010-07
"6420650",PASTAS MOLISABA SA DE CV,PASTAS MOLISABA SA DE CV,"311820",ElaboraciLn de galletas y pastas para sopa,251 y mcs personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO DtAZ ORDAZ,CALLE,MARLA CANT  TREVIOO,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,MARLA CANTN TREVI)O,"333",,,,"1",,COLONIA,LA LEONA,,,,"66210","19",NUEVO LE,"019",San Pedro Garza Garcta,"0001",San Pedro Garza Garcta,"0577","002",,CCASTILLO@GRUPOHARINAS.MX,WWW.GRUPOHARINAS.COM,Fijo,25.67483594,-100.41208887,2010-07
"3019176",TORTILLERIA EL MAIZAL,,"311830",ElaboraciIn de tortillas de maaz y molienda de nixtamal,0 a 5 personas,CALLE,CARBONO,CALLE,GRAFITO,CALLE,URANIO,CALLE,PLATA,"402",SN,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcla,"0001",San Pedro Garza Garcla,"0011","018","8183158503",,,Fijo,25.68459015,-100.41405159,2010-07
"6364965",FIBERS MOXICO HOLDINGS S DE RL DE CV,FIBERS MEXICO HOLDINGS S DE RL DE CV,"325220",FabricaciXn de fibras qu micas,251 y mcs personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO DsAZ ORDAZ,CALLE,MARLA CANT  TREVIOO,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,MARLA CANTN TREVI)O,"333",,,,"0",,COLONIA,LA LEONA,,,,"66210","19",NUEVO LE,"019",San Pedro Garza Garcsa,"0001",San Pedro Garza Garcsa,"0577","002",,NORBERTO.ORDONEZ@LYCRA.COM,WWW.LYCRA.COM,Fijo,25.67483801,-100.41226682,2010-07
"7563997",TALLER DE COSTURA TITA,,"315223",ConfecciEn en serie de uniformes,0 a 5 personas,CALLE,ZINC,CALLE,GRAFITO,CALLE,AZUFRE,CALLE,CARBONO,"404",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcda,"0001",San Pedro Garza Garcda,"0011","005",,,,Fijo,25.68509019,-100.41361004,2019-11
"2990122",TALLER DE COSTURA,,"315225",ConfecciEn de prendas de vestir sobre medida,0 a 5 personas,ANDADOR,ANACLETO GUERRERO,CALLE,RAMIRO TAMEZ,AVENIDA,GENERAL EMILIANO ZAPATA,CALLE,NICLFORO ZAMBRANO,,SN,,,,,COLONIA,VISTA MONTAMA,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza GarcAa,"0001",San Pedro Garza GarcAa,"0327","046",,,,Fijo,25.68226633,-100.40692004,2014-12
"3019315",ANTI SPONGE,,"325620","FabricaciGn de cosmcticos, perfumes y otras preparaciones de tocador",0 a 5 personas,AVENIDA,MANUEL J. CLOUTHIER,CALLE,LICENCIADO ADOLFO RUIZ CORTINES,CALLE,ANTONIO I. VILLARREAL,CALLE,ANTONIO D.AZ SOTO,"311",,,,,,COLONIA,VISTA MONTAZA,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza GarcLa,"0001",San Pedro Garza GarcLa,"0327","033","8112762500",,,Fijo,25.67918256,-100.4080943,2010-07
"3019184",AISLAMIENTOS VALENZUELA,,"238311",ColocaciNn de muros falsos y aislamiento,11 a 30 personas,CALLE,GRAFITO,CALLE,POTASIO,AVENIDA,DIVISION DEL NORTE,CALLE,NAQUEL,"401",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcfa,"0001",San Pedro Garza Garcfa,"0011","031","8183155979",,,Fijo,25.68372406,-100.41185573,2010-07
"3017928",ALCORSA,"ALCORSA, S.A. DE C.V.","311940",ElaboraciSn de condimentos y aderezos,11 a 30 personas,CALLE,20 DE NOVIEMBRE,BOULEVARD,LICENCIADO GUSTAVO DIAZ ORDAZ,CALLE,MERCURIO,CALLE,ORO,"125",,,,,,COLONIA,LA LEONA,,,,"66106","19",NUEVO LE,"019",San Pedro Garza GarcIa,"0001",San Pedro Garza GarcIa,"0026","026","8181146007",,,Fijo,25.67759598,-100.41884903,2010-07
"6269148",ALVEG,ALVEG DISTRIBUCION QUIMICA SA DE CV,"434222",Comercio al por mayor de productos qutmicos para la industria farmaceutica y para otro uso industrial,51 a 100 personas,CARRETERA,SALTILLOMONTERREY,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,"0",SN,,,,,COLONIA,SANTA CATARINA,,,,"66350","19",NUEVO LETN,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0577","053",,DZAMUDIO@ALVEG.COM.MX,WWW.ALVEG.COM.MX,Fijo,25.67467335,-100.40058196,2010-07
"8688708",TALLER DE SOLDADURA SIN  NOMBRE,TALLER DE SOLDADURA SIN  NOMBRE,"332320",Fabricaci n de productos de herrerya,0 a 5 personas,CALLE,FIERRO,CALLE,ALABASTRO,CALLE,CRISTAL,CALLE,CROMO,,SN,,,,,COLONIA,ALABASTRO,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcca,"0001",San Pedro Garza Garcca,"0312","002",,,,Fijo,25.68731615,-100.41645956,2019-11
"6802021",COMERCIAL TREVI O SUCURSAL SAN PEDRO,COMERCIAL TREVI O SA DE CV,"431110",Comercio al por mayor de abarrotes,11 a 30 personas,CALLE,AQUILES SERDoN,CALLE,PLATINO,CALLE,GENERAL FELIPE sNGELES,CALLE,RODOLFO GAYTPN,"222",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza GarcEa,"0001",San Pedro Garza GarcEa,"0327","004",,,,Fijo,25.68293074,-100.41099931,2017-11
"6367948",WS PACKAGING MEXICO,WS PACKAGING MEXICO SA DE CV,"323119",ImpresiAn de formas continuas y otros impresos,31 a 50 personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO DcAZ ORDAZ,CALLE,ORO,CALLE,20 DE NOVIEMBRE,CALLE,MERCURIO,"333",,,,"11",,COLONIA,LA LEONA,,,,"66210","19",NUEVO LE,"019",San Pedro Garza Garcca,"0001",San Pedro Garza Garcca,"0026","026",,JMENDEZ@WSPACKAGING.COM,,Fijo,25.67550998,-100.41779158,2010-07
"2990116",TALLER DE MARCO SIN NOMBRE,,"339999",Otras industrias manufactureras,0 a 5 personas,AVENIDA,GENERAL EMILIANO ZAPATA,CALLE,ANTONIO I. VILLARREAL,CALLE,NICEFORO ZAMBRANO,CALLE,GENERAL  LVARO OBREGLN,"320",,,,,,COLONIA,REVOLUCION,,,,"66219","19",NUEVO LEON,"019",San Pedro Garza GarcLa,"0001",San Pedro Garza GarcLa,"0327","021",,,,Fijo,25.68201307,-100.40748189,2010-07
"8461945",HERRERIA SIN NOMBRE,HERRERIA SIN NOMBRE,"332320",FabricaciSn de productos de herrer a,0 a 5 personas,CALLE,HELIO,CALLE,PLATINO,CALLE,POTASIO,CALLE,BORO,"1306",,,,"0",SN,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcca,"0001",San Pedro Garza Garcca,"0011","026","8110181579",,,Fijo,25.68573409,-100.41175423,2019-11
"3019230",TALLER DE HERRERIA Y PINTURA SANCHEZ,,"332320",Fabricaci n de productos de herrerEa,0 a 5 personas,AVENIDA,LAS TORRES,CALLE,PLATINO,CALLE,MAGNESIO,CALLE,MANGANESO,"302",,,,,,COLONIA,COL HABITACIONAL SAN PEDRO,,,,"66210","19",NUEVO LETN,"019",San Pedro Garza Garc a,"0001",San Pedro Garza Garc a,"0026","003","8183159807",,,Fijo,25.67998187,-100.41587613,2010-07
"7563993",TALLER DE HERRERIA SIN NOMBRE,,"332320",Fabricaci n de productos de herrerca,0 a 5 personas,CALLE,PLATINO,CALLE,BORO,CALLE,HELIO,CALLE,POTASIO,"514",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcca,"0001",San Pedro Garza Garcca,"0011","026",,,,Fijo,25.68530111,-100.41101768,2019-11
"7564228",HERRERIA,,"332320",FabricaciCn de productos de herrerma,0 a 5 personas,CALLE,ANTONIO DIAZ SOTO,CALLE,LICENCIADO ADOLFO RUIZ CORTINES,CALLE,ADAN HERNANDEZ ROJAS,CALLE,ADOLFO DE LA HUERTA,,SN,,,,,COLONIA,VISTA MONTAAA,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza Garc,"0001",San Pedro Garza Garc,"0327","030","8181376893",,,Fijo,25.67916712,-100.40584614,2019-11
"9269369",ABARROTES,ABARROTES,"431110",Comercio al por mayor de abarrotes,0 a 5 personas,CALLE,GENERAL FELIPE ANGELES,CALLE,PEDRO N. PERALES,CALLE,MANUEL HUERTA,CALLE,LUCRECIA TORIN,"0",SN,,,"0",,COLONIA,VISTA MONTARA 5 SECTOR,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza GarcOa,"0001",San Pedro Garza GarcOa,"0609","010",,,,Fijo,25.68456933,-100.40910834,2020-11
"8626146",ACEROS Y TROQUELADOS,,"332710",Maquinado de piezas met.licas para maquinaria y equipo en general,0 a 5 personas,CALLE,GENERAL BERNARDO REYES,CALLE,LICENCIADO ADOLFO RUIZ CORTINES,CALLE,ARTURO B. DE LA GARZA,CALLE,ADOLFO DE LA HUERTA,"404",,,,,,COLONIA,VISTA MONTAAA,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza GarcAa,"0001",San Pedro Garza GarcAa,"0327","027","8184677181",,,Fijo,25.68097926,-100.40611359,2019-11
"7564108",COMPRA DE PLASTICO,,"434314",Comercio al por mayor de desechos de pldstico,0 a 5 personas,CALLE,CARBONO,CALLE,COBALTO,CALLE,PLOMO,CALLE,ZINC,"0",SN,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0011","015","8116789527",,,Fijo,25.68304983,-100.41395781,2019-11
"6369112",TROQUELES Y MATRICES SA DE CV,TROQUELES Y MATRICES SA DE CV,"334410",Fabricaci n de componentes electr nicos,101 a 250 personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO DnAZ ORDAZ,CALLE,MARLA CANT  TREVIOO,AVENIDA,CORREGIDORA,CALLE,LUCIO BLANCO,"333",KM 333,,,"0",,COLONIA,LA LEONA,,,,"66210","19",NUEVO LE,"019",San Pedro Garza Garcna,"0001",San Pedro Garza Garcna,"0577","003",,RTORRES@TYMSA.COM.MX,,Fijo,25.67464902,-100.40536424,2010-07
"9279452",CALZADO INDUSTRIAL DURANGO,CALZADO INDUSTRIAL DURANGO SA DE CV,"432130",Comercio al por mayor de calzado,0 a 5 personas,BOULEVARD,LICENCIADO GUSTAVO DIAZ ORDAZ,CALLE,MARIA CANTU TREVIOO,AVENIDA,CORREGIDORA,CALLE,LUCIO BLANCO,,SN,,,,,COLONIA,LA LEONA,,,,"66210","19",NUEVO LE,"019",San Pedro Garza GarcIa,"0001",San Pedro Garza GarcIa,"0577","003",,,,Fijo,25.67436338,-100.40362659,2020-11
"6365377",SUEZWT&S MDXICO S DE RL DE CV,SUEZWT&S MEXICO S DE RL DE CV,"325999",FabricaciMn de otros productos quimicos,11 a 30 personas,OTRO (ESPECIFIQUE),LICENCIADO GUSTAVO D AZ ORDAZ,CALLE,ZINC,BOULEVARD,LICENCIADO GUSTAVO D AZ ORDAZ,CALLE,MERCURIO,"333",,,,"0",,COLONIA,UNIDAD SAN PEDRO,,,,"66220","19",NUEVO LEAN,"019",San Pedro Garza Garc a,"0001",San Pedro Garza Garc a,"0026","025",,SERGIO-DAVID.RODRIGUEZ@GE.COM,,Fijo,25.67542965,-100.41444006,2010-07
"6365311",CUPRUM DIVISION VENTANAS,CUPRUM SA DE CV,"331310",Industria bEsica del aluminio,6 a 10 personas,CALLE,ZINC,BOULEVARD,LICENCIADO GUSTAVO DIAZ ORDAZ,AVENIDA,ENRIQUE GARCIA LEAL,OTRO (ESPECIFIQUE),N/A,,SN,,,,,CORREDOR INDUSTRIAL,ENRIQUE GARCIA LEAL,,,,"66219","19",NUEVO LEGN,"019",San Pedro Garza GarcIa,"0001",San Pedro Garza GarcIa,"0327","035","8183898272",,,Fijo,25.67617472,-100.41414327,2010-07
"7563876",ABARROTES ALBARADO,ABARROTES ALBARADO,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscelsneas",0 a 5 personas,CALLE,NIQUEL,CALLE,ALUMINIO,CALLE,FIERRO,CALLE,MANGANESO,"205",,,,"0",,COLONIA,MANGANECIO,,,,"66210","19",NUEVO LEIN,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0312","016",,,,Fijo,25.68501729,-100.41666341,2019-11
"2992796",ABARROTES EL CABRITO,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscelsneas",0 a 5 personas,CALLE,PLAN DEL RIO,AVENIDA,CORREGIDORA,PRIVADA,NINGUNO,CALLE,PASEO DEL SEMINARIO,,SN,,,,,FRACCIONAMIENTO,LUCIO BLANCO 3ER SECT,,,,"66218","19",NUEVO LEAN,"019",San Pedro Garza GarcTa,"0001",San Pedro Garza GarcTa,"0577","058",,,,Fijo,25.67278375,-100.40178262,2014-12
"3019775",ABARROTES CORONADO,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,GENERAL FRANCISCO VILLA,CALLE,CORREGIDIRA,CALLE,NINGUNO,CALLE,LUCIO BLANCO,"340",,,,,,COLONIA,LUCIO BLANCO 2DO SECT,,,,"66218","19",NUEVO LEAN,"019",San Pedro Garza GarcTa,"0001",San Pedro Garza GarcTa,"0577","044","8183361063",,,Fijo,25.67148743,-100.40375608,2010-07
"3019180",ABARROTES ALONSO,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,POTASIO,CALLE,AZUFRE,CALLE,GRAFITO,CALLE,SODIO,"428",,,,"0",,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0011","020","8183158411",,,Fijo,25.68480594,-100.41193563,2010-07
"3018865",ABARROTES ALVARADO,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,MANGANESO,CALLE,ALUMINIO,CALLE,PROLONGACION RIOLITA,CALLE,MICA,"205",,,,"0",,COLONIA,MICA,,,,"66210","19",NUEVO LECN,"019",San Pedro Garza Garc,"0001",San Pedro Garza Garc,"0312","014","8184014871",ABARROTES_ALVARADO@HOTMAIL.COM,,Fijo,25.68537625,-100.41605555,2010-07
"2990136",ABARROTES DANY,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,LUCIO BLANCO,CALLE,GENERAL ALVARO OBREGON,CALLE,ANTONIO I. VILLARREAL,CALLE,PLAN DE AYALA,"114",,,,,,COLONIA,UNIDAD REVOLUCION 2 SECTOR,,,,"66219","19",NUEVO LEEN,"019",San Pedro Garza GarcSa,"0001",San Pedro Garza GarcSa,"0327","019",,,,Fijo,25.68137304,-100.40819271,2014-12
"7563987",PRODUCTOS DE BELLEZA SIN NOMBRE,,"433210",Comercio al por mayor de artBculos de perfumeria y cosmtticos,0 a 5 personas,CALLE,CROMO,CALLE,COBALTO,CALLE,GRAFITO,CALLE,FIERRO,,SN,,,,,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0026","030",,,,Fijo,25.68455639,-100.41725311,2019-11
"9135976",PRODUCTOS 3R,,"435419",Comercio al por mayor de otra maquinaria y equipo de uso general,0 a 5 personas,AVENIDA,GENERAL EMILIANO ZAPATA,CALLE,LUIS CABRERA,CALLE,GENERAL FELIPE ONGELES,CALLE,AQUILES SERDPN,"201",,,,,,COLONIA,UNIDAD REVOLUCION,,,,"66219","19",NUEVO LEEN,"019",San Pedro Garza GarcEa,"0001",San Pedro Garza GarcEa,"0327","007",,,,Fijo,25.68205354,-100.41007527,2019-11
"7563941",ABARROTES CRUZ,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,ORO,CALLE,PLOMO,AVENIDA,MANUEL J. CLOUTHIER,CALLE,FIERRO,"130",,,,,,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0026","019",,,,Fijo,25.68204921,-100.41682504,2019-11
"3019290",ABARROTES DE LUNA,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel neas",0 a 5 personas,CALLE,NICEFORO ZAMBRANO,CALLE,NICEFORO ZAMBRANO,CALLE,PORFIRIO GONZALEZ,ANDADOR,ANACLETO GUERRERO,"304",,,,,,COLONIA,VISTA MONTAEA,,,,"66216","19",NUEVO LENN,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0327","040",,,,Fijo,25.6835657,-100.40631908,2010-07
"8626144",ABARROTES ERE,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel",0 a 5 personas,CALLE,PLATINO,CALLE,COBALTO,CALLE,PLOMO,CALLE,ALUMINIO,"206",,,,,,COLONIA,SAN PEDRO 400,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0026","011",,,,Fijo,25.6822581,-100.41594774,2019-11
"2990180",ABARROTES CARMEN,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscelpneas",0 a 5 personas,CALLE,BENJAMIN HILL,CALLE,MANUEL J. CLOUTHIER,CALLE,EULALIO GUZMAN,CALLE,FALIX I.,"101",,,,,,COLONIA,EL OBISPO,,,,"66214","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0331","046","8183156928",,,Fijo,25.67774937,-100.40076842,2014-12
"2990143",ABARROTES CASTILLO,,"461110","Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel",0 a 5 personas,CALLE,BELISARIO DOMINGUEZ,ANDADOR,NINGUNO,CALLE,LIBRADO RIVERA,CALLE,LIBRADO RIVERA,"513",A,,,,,COLONIA,EL OBISPO,,,,"66210","19",NUEVO LEON,"019",San Pedro Garza Garcra,"0001",San Pedro Garza Garcra,"0331","003","8183155307",,,Fijo,25.68162873,-100.40373902,2014-12
